Weight,1456,,,,,133,30,13,6,4,310,9,559,2,264,68,29,7,1,1,13,2,2,7,10,3,7,10,12,255,45,6,32,3,1,17,5,1,32,841,273,25,99,119,96,87,59,62,79,25,8,376,9,57,72,79,46,40,90,33,17,11,7,5,1138,123,82,86,199,83,68,61,30,18,37,77
,English,language,Notes,EnglishPronunciation,Esperanto,German,Dutch,Swedish,Danish,Norwegian,French,Catalan,Spanish,Galician,Portueguese,Italian,Romanian,Albanian,Irish,Welsh,Greek,Slovenian,Bosnian,Croatian,Bulgarian,Macedonian,Slovak,Czech,Serbian,Russian,Polish,Belarusian,Ukrainian,Lithuanian,Latvian,Hungarian,Finnish,Estonian,Sindhi,Hindi,Bengali(bangla),Nepali,Marathi,Punjabi,Telugu,Tamil,Kannada,Gujarati,Persian,Kurdish - North,Tajik,Arabic,Hebrew,Amharic,Swahili,Hausa,Yoruba,Sudanese,Turkish,Uzbek,Kazakh,Turkmen,Kyrgyz,Mongolian,Chinese,Japanese,Korean,Vietnamese,Indonesian,Filipino,Javanese,Thai,Laos,Khmer,Malayam,Malay
,language,leingwa,"basa -2005
lang/ling - 2668 
lugha - 448
Join primary at front and secondary at back",,lingvo,Sprache,taal,språk,Sprog,Språk,langue,llenguatge,lengua,lingua,linguagem,lingua,limba,gjuhe,teanga,iaith,Glóssa,jezik,jezik,Jezik,ezik,jazik,Jazyk,Jazyk,Jezik,yazyk,język,movie,mova,kalba,valodu,nyelv,Kieli,keel,boli,bhaasha,Bhāṣā,Bhāṣā,Iṅgrajī,Bhāśā,Bhāṣa,Moḻi,Bhāṣe,Bhāṣā,zaban,ziman,zaʙon,lugha,shfe,k’wanik’wa,lugha,harshe,ede,basa,dil,til,til,dili,til,khel,Yǔyán,Gengo,eon-eo,ngôn ngữ,bahasa,wika,basa,P̣hās̄ʹā,phasa,pheasaea,bhasha,bahasa
,earth,ard,"tera -1212
ard/erd-2092
zem-514
pretvi-1300
yer - 86",,Tero,Erde,aarde,jorden,jorden,jorden,Terre,terra,Tierra,terra,Terra,Terra,Pământ,Tokë,domhain,ddaear,Gi,Zemlja,Zemlja,Zemlja,Zemya, Zemja,Zem,Země,Zemlja,zemlya,Ziemia,ziamlia,Zemlya,žemė,Zeme,bolygó,maapallo,maa,zamin,prthvee,Pr̥thibī,pr̥thivī,Pr̥thvī,dharatī,Bhūgrahaṁ,Puvikkōḷ,Bhū,pr̥thvī, zamin,erd,zamin,ard,haaretz,midiri,ardhi,duniyar,aye,bumi,Dünya,yer,jer,?,Jer,delkhii,dìqiú,Chikyū,jigu,hành tinh trái đất,bumi,?, bumi,?,dav olk,php phendei,bhoomi,bumi
,Zero,zero,"Nul - 607 
Zero - 3121
Sunya - 1516
Sifi - 753",zehro,Nulo,Null,Nul,Noll,Nul,Null,Zéro,Zero,Cero,Cero,Zero,Zero,Zero,Zero,nialais,Sero,Midén,Nič,Zero,Nula,Nula,Nula,nula,Nula,Nula,Nul',Zero,Nuĺ,Nulʹ,Nulis,Nulle,Nulla,Nolla,Null,safar,shoony,Śūn'ya,Śūn'ya,Śūn'ya,Zīrō,Sunnā,Pūjyam,Śūn'ya,Śūn'ya,safar,Sifir,Sifr,sifr,epps,zēro,Sufuri,Sifili,Odo,,Sıfır,Nol,nol,Nol,Nöl,Teg,Líng,,yeong,Số không,Nol,Zero,nul,Ṣ̄ūny̒,,,,
,One,un,Ek or Un,,Unu,eins,Een,Ett,En,En,Un,Un,Uno,Un,Um,Uno,unu,Një,Aon,Un,Enas,ena,Jedan,Jedan,edin,Eden,Jeden,Jeden,Jedan,Odin,Jeden,adzin,Odyn,Vienas,Viens,Egy,Yksi,Üks,hik,ek,ēka,ēka,ēka,ika,okaṭi,oṉṟu,ondu,ēka,yak,Yek,Jak,wahid,ekhad,ānidi,Moja,Daya,Ọkan,,Bir,Bir,bir,Biri,Bir,Neg,yī,,hana,Một,Satu,Isa,siji,h̄nụ̀ng,,,,
,Two,du,Du almost all,,Du,zwei,Twee,Två,To,To,Deux,Dos,Dos,Dous,Dois,Due,Două,Dy,Beirt,Dau,Dýo,Dva,Dva,Dva,dve,Dve,Dva,Dva,Dva,Dva,Dwa,Dva,Dva,Du,Divas,Kettő,Kaksi,Kaks,bah,do,du'i,du'ī,dōna,dō,reṇḍu,iraṇṭu,eraḍu,bē,du,du,Du,aithnayn,shnim,huleti,Mbili,Biyu,Meji,,İki,Ikki,eki,Iki,Eki,Khoyor,èr,,dul,Hai,Dua,Dalawa,Kalih,s̄xng,,,,
,Three,trī,Tri - almost all,,Tri,Drei,Drie,Tre,Tre,Tre,Trois,Tres,Tres,Tres,Três,Tre,Trei,Tre,Trí,Tri,Tría,tri,Tri,Tri,Tri,Tri,Tri,Tři,Tri,Tri,Trzy,Try,Try,Trys,Trīs,Három,Kolme,Kolm,tee,teen,tina,tīna,tīna,tina,mūḍu,mūṉṟu,mūru,traṇa,seh,sê,Se,thalatha,shlosh,sositi,Tatu,Uku,Mẹta,,Üç,Uch,ush,Üç,Üç,Gurav,sān,,sam,Ba,Tiga,Tatlo,telu,s̄ām,,,,
,Four,far,"kwatro - 1248
chetiri - 395
char- 1563
fier- 1642",far,Kvar,Vier,Vier,Fyra,Fire,Fire,Quatre,Quatre,cuatro,Catro,Quatro,quattro,Patru,Katër,Ceathrar,Pedwar,Téssera,štiri,Četiri,četiri,Chetiri,Četiri,Štyri,Čtyři,Četiri,Chetyre,Cztery,čatyry,chotyry,Keturi,Četri,Négy,Neljä,Neli,char,chaar,cāra,cāra,cāra,cāra,nālugu,nāṉku,nālku,cāra,chahar,çar,Cor,arbaea,arba,ārati,Nne,Hudu,Mẹrin,,Dört,To'rt,thort,Dört,Tört,Döröv,sì,shi,4gae,bốn,Empat,Apat,Papat,s̄ī̀,,,,
,Five,pɑnч,"sink - 1241
pyach-339
paanch - 1563
peich -29",pawnch,Kvin,Fünf,Vijf,Fem,Fem,Fem,Cinq,Cinc,Cinco,Cinco,Cinco,Cinque,Cinci,Pesë,Cúigear,Pump,Pénte,Pet,Pet,Pet,Pet,Petka,Päť,Pět,Pet,Pyat',Pięć,Piać,P'yatʹ,Penkios,Pieci,Öt,Viisi,Viis,panj,paanch,pām̐ca,pām̐ca,pāca,paja,aidu,aintu,aidu,pān̄ca,panj,pênc,Panç,khamsa,hamesh,āmisiti,Tano,Biyar,Marun,,Beş,Besh,besse,Bäş,Beş,Tav,wǔ,go,daseos,Năm,Lima,lima,gangsal,h̄̂ā,,,,
