Grammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1456,,133,30,13,6,4,310,9,559,264,68,29,7,2,1,1,13,2,2,7,10,3,7,10,12,255,45,6,32,3,1,17,5,1,32,,,841,273,25,99,119,96,87,59,62,79,25,8,376,9,57,72,79,46,90,33,17,11,7,5,1138,123,82,86,199,83,68,61
Grammar Subject,language,Example,English Translation,Contenders,English,Esperanto,German,Dutch,Swedish,Danish,Norwegian,French,Catalan,Spanish,Portueguese,Italian,Romanian,Albanian,Galician,Irish,Welsh,Greek,Slovenian,Bosnian,Croatian,Bulgarian,Macedonian,Slovak,Czech,Serbian,Russian,Polish,Belarusian,Ukrainian,Lithuanian,Latvian,Hungarian,Finnish,Estonian,Sindhi,Lithuanian,Latvian,Hindi,Bengali(bangla),Nepali,Marathi,Punjabi,Telugu,Tamil,Kannada,Gujarati,Persian,Kurdish - North,Tajik,Arabic,Hebrew,Amharic,Swahili,Hausa,Yoruba,Turkish,Uzbek,Kazakh,Turkmen,Kyrgyz,Mongolian,Chinese,Japanese,Korean,Vietnamese,Indonesian,Filipino,Javanese,Thai
Plural,"pronouns -men, otherwise none or use adjective",tamen (them),,,-es.-s,-j,"-n/-en, -e, -r/-er, -s",-en or -s,"-or, -ar, -er, -n",-er,"-er, -en, -e",-s,-es,"-s, -es","-s, -es","-i, -e","-i, -e","-ra, -a, -e, -onj, -ë",-s,-ai-,irregular,"-ee,-ees","-sa, -e",-e,irregular,"-i, -a","-e, -i",-y (prnounce i),-y (prnounce i),"-e, -i",-a,"-a, -i, -e","-i, -y","-a, -i","-s, -ai","-i, -as",-k,"-n, -t",-d,"-a, -roon, irregular",,,"-e, -o, -a",none,-haru,-e,"-am, -a",-lu,-kal,"-alu, -lu, ",-o,"-in, ha,",none,-on,"-at, -in, -un",irregular,-ochi,"wa-, va-","maza, mata",none,"-ler,-lar",-lar,"-ter,-dar","-lar, -ler","-tar,-ter",irregular,-men,none,not used frequently,none,none,mga before noun,none,none
Past Tense,"Tenseless, use adverbs like tomorrow for time",,,,-ed,-is,irregular,-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenseless,irregular,,Tenseless,Tenseless,Tenseless,Tenseless,
Present Tense,"Tenseless, use adverbs like tomorrow for time. no ""am""",,,,-ing,-as,irregular,-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenseless,irregular,,Tenseless,Tenseless,Tenseless,Tenseless,
Future Tense,"Tenseless, use adverbs like tomorrow for time no ""will be""",,,,will <verb>,-os,werde,gaan or zullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenseless,none,,Tenseless,Tenseless,Tenseless,Tenseless,
Comparitive,bi,mi bi <adjective> que tu,,bi,<verb>-er than,pli,-er,-er,-re,,,more <adjective> than you. plus adjective,,more. mas adjective>,more adjective than you. é mais,più. he più you,,,,níos after noun,,,,,,,,,,,tebya at end.,,,,,,,,,,,,he more you <adjective>,,,,,,,,,,,,,,,,,,daha after noun,,,,,,"bǐ between nouns compared, adverb at end. he <compare> you <adjective>",yori between nouns compared,,,,,,
Superlative,zui,tu na zui <adjective>,,zui,-est,plej,-ste,-ste,-st,,,the more. la plus.,,the most. el mas,the most adjective. é o mais,add definitive article,,,,is after noun,,,,,,,,,,,samyy in between,nai-<adverb>,,nai<adverb>,,,,,,,,,"he most <adjective>, sabase",,,,,,,,,,,,,,,,,,en after noun,,,,,,zui before adjective; he most big,ichiban before adjective,,,,,,
Definate Article ,None,,,,The,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indefinite Article,None,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posessive,de,kursi de mi,chair of me/mine,,'s and of,multiple,multiple,de,"-s, others",-s,"-ens, -es",de,de,"-a, -o","da, do, das, dos; pronoun changes ",de with gender,irregular,,"da, do",an,y,"diko(s) on pronoun, noun irregular",,,,,,,,,add vowel at the end,,,"pronouns, u at end, irregular",,,övé,,,,,,ka,,,,,,,,,multiple,,,varias pronoun,,,,,,"-in, nin",,,,,complicated,de,no,comlicated,,saya,ng,,
Conjunctions,o,mi o tu? ,(me or you?),,or,aŭ,oder,of,eller,,,ou,,o,ou,o,,,,no,,,,,,,,,,,ili,difficult,,abo,,,,,,,,,ya,athaba,,kiva,jam,,allatu,,,oa,,,aw,,,au,,,,yoki,,,,,"Question form: háishì
statement form: huò","Question: ka at end of option 
Statement: matewa",,hoak,atau,o,utawa,
,i,tamen i mi ,(them and I),,and/both,kaj,und,en,och,,,et,,y,e,e,,,,agus,,,,,,,,,,,i,i,,i,,,,,,,,,aur,ebam,,ani,te,,,,,wa,,,w,,,na,,,ve,va,,,,,he,to,,va,dan,at,lan,
,leiken,,,leiken or mai,but,sed,aber,maar,men,,,mais (mei),,pero,mas,ma,,,,ach,,,,,,,,,,,no,ale,,ale,,,,,,,,,lekin,kintu,,Parantu,para,,analum,,,lakin,,,lakin,,,lakini,,,ancak,lekin,,,,,danshi,shikashi,hajiman,nhung,tetapi,ngunit,nanging,
,ni,,,,nor,nek,noch,noch,inte heller,,,ni,,ni,nem,nei,,,,na,,,,,,,,,,,ni,ani,,ni,,,,,,,,,aur na,ba,,kinva,nahi,,Allatu illai,,,la,,,wala,,,wala,,,ne de,na,,,,,Yě bù,Matawa,,cũng không,juga bukan,hindi rin,utawa,
,,,,,yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may not do for,,,,for,por,für,voor,for,,,pour,,para,para,per,,,,don,,,,,,,,,,,dlya,do,,dlya,,,,,,,,,ke lie,janya,,cya sathi,lai,,kana,,,,,,i,,,kwa,,,ichin,uchun,,,,,Wèile,,,,,,,
