Teran,IPA Letter,Note,Pronunciation,,Word example,English,Spanish,Portuguese,czech,Russian,Polish,Other Cyrillic,Esperanto,Greek,Macedonian,Mongolian,Lithuanian,Latvian,Estonian,Hungarian,Finnish,Turkish,Albanian,Irish,Welsh,Armenian,Unifon,Vietnamese,Korean,Hindi,Bengali,Telugu,Indonesian,Tagalog,chinese pinyin,Thai,Persian,Arabic,Hebrew,Assyrian Latin,Native
a,"a, ä, ɐ",vowel,ah,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɑ,"ɑ, ɒ, ɔ",vowel,aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,b,consonant,b,,,b,,,,Б,B,,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,
ч,"t͜ʃ, tɕ",consonant,ch,,,-,,,,Ч,Ć,ч,Ĉ,Cypriot- τσ̌,ч,,,,,Cs,,ç,ç,,,,Ȼ,,,चा,,,,,,,,,,,
d,d,consonant,d,,,d,,,,Д,d,,D,Δ,,,,,,,,,,,,,D,,,,,,,,,,,,,,
e,"e̞, ɛ",Vowel,eh,,let,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,ɪ,,short i,,sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,,consonant,f,,,f,,,,ф,,,F,Φ,,,,,,,,,,,,,F,,,,,,,,,,,,,,
g,g,consonant,g/guh,,,g,,,,Г,,,G,Γ,,,,,,,,,,,,,G,,,,,,,,,,,,,,
j ,d͜ʒ,consonant,j/dge,,"Judge, jãj",j,,,,Дж,,дж,Ĝ,,џ,,,,,,,C (so dumb),,,,"Ջ, ջ",J,,,जा,জ,,J,,,,,,,ǧ,
h,,consonant,h,,,h,,,,,,,H,,,,,,,,,,,,,,H,,,,,,,,,,,,,,
ī,i,vowel,"ee, long i, ",,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,,consonant,k,,,k,,,,k,,,K,k,,,,,,,,,,,,,K,,,,,,,,,,,,,,
l,,liquid consonant,l,,,l,,,,Л,,,L,Λ,,,,,,,,,,,,Լ/ լ,L,,,,,,,,,,,,ל,,
ʌ,"ə, ʌ, ɞ",vowel ,uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,,consonant,m,,,m,,,,,,,M,M,,,,,,,,,,,,,M,,,,,,,,,,,,,,
n,,consonant,n,,,n,,,,,,,N,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,
ŋ ,ŋ,consonant,Ng,,walking,ng,ng,ng/nk,,none,ng,ң / ӈ,none,,,н / ŋ,,,,,,,,,Ng,,И,,,ṅ,,,,,,,,,,,
o,o,vowel,o,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,,consonant,p,,,p,,,,,,,P,Π,,,,,,,,,,,,,P,,,,,,,,,,,,,,
r,,liquid consonant,r,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
s,,flexible consonant,s,,,,,,,,,,S,Σ or c,,,,,,Sz,,,,,,,S,,,,,,,,,,,,,,
x,"ʃ, ɕ",consonant,sh,"x 1,469,708,600
ш 336,360,000",,-,,x,,Ш,Ś,,Ŝ,σ,ш,,š,,,s,š,Ş,,s,si,շ,S̸,,,श,,,,siy,x,,,,,,
t,,consonant,t,,,,,,,,,,T,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,
u,"u, ɯ",vowel,oo,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,,consonant,v,,,V,,,,B,,,V,"B, β",,,,,,,,v,,,,վ,,,,,,,,,,,,,,,
w,,Semivowel,w ,,,,,,,,Ł,,Ŭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,j,Semivowel,Y,,,Y,,,,Я,J,Я,J,ἴ,J,,,,,J,J,y,,,,,Y,,,या,,,,y,,,,,,,
z,,consonant,z,,,,,,,,,,Z,z,,,,,,,,,,,,,Ƶ,,,,,,,,,,,,,,
ж,ʒ,consonant,zh,,Pleasure,su,,,,Ж,Ż,,Ĵ,,,,,,,Zs,Žž,J,,,,ժ, 𑪽,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y and w are semivowel and can glide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɲ,,ny,,,,ñ,,ň,,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,hy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mʲ,,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɟ,,gy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No english x as e + k + s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List of Greek and Latin roots in English - Wikipedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtong or use diacritic?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dipthongs,Example,IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,au,loud (aou),aʊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ai,"lied, light",aɪ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ei,lay,"eɪ, e",,,,,? or dipthing aw,,aw, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oi̯,coin,ɔɪ,,,,,,a,"father, hat, cat","ä, ɐ, æ,ɔ, ɒ,ɑ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ae,ant,æ,,,,,,e,eh,"e̞, ɛ,ø̞,ɪ,ʏ,ɘ,œ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ə,uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,i,ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,u,uu/oo,"u,ɯ,ʊ,ɵ,ʉ,ɨ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,o,o,"o,o̞",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,maybe w ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
